Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000131042,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
ENSG00000131043,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ENSG00000131044,18,20,27,16,7,4,7,4,9,5,15,17,4,5,7,7,20,16,4,4,28
ENSG00000131050,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000131051,35,34,70,34,41,37,57,41,37,28,53,57,26,42,13,36,58,62,39,25,94
ENSG00000131055,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ENSG00000131059,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
ENSG00000131061,1,1,0,1,0,0,2,0,2,1,4,3,0,1,0,9,1,3,0,1,0
ENSG00000131067,0,0,0,0,1,1,1,0,0,1,0,6,0,0,0,0,0,0,1,0,8
ENSG00000131068,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000131069,15,10,27,13,6,1,14,7,15,5,23,12,13,12,6,11,22,20,7,4,19
ENSG00000131080,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0
ENSG00000131089,5,15,7,1,1,0,2,3,2,2,0,24,1,2,0,1,1,0,3,1,4
ENSG00000131094,2,4,2,13,2,26,10,22,45,6,2,2,40,39,2,3,47,38,66,43,0
ENSG00000131095,120,162,93,125,541,344,373,576,268,293,14,311,217,536,46,63,294,486,287,243,59
